0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0.0,46.17,27.89,77.73,127.91,146.79,259.35,273.34,23.82,247.98,129.18,622.04,708.63,639.2,639.2,652.73,698.99,1022.18,900.92,882.45,869.13,1184.71,1184.71,680.68,213.2,195.16,164.62,161.57,110.15,345.35,300.92,243.12,213.63,207.87,304.68,312.44,1386.51,1386.51,1604.82,498.89,503.39,503.39,886.51,79.79,181.44,78.87,154.96,184.0,221.54,353.18,374.0,392.31,650.61,801.43,394.68,354.86,354.86,354.86,354.86,371.54,387.04,397.09,486.25,699.99,662.75,651.86,607.95,627.41,484.61,466.57,509.36,555.94,492.73,512.84,549.07,529.43,687.71,281.14,349.75,699.66,726.25,1025.46,1349.25,1386.72,154.79,228.19,137.99,114.13,98.21,91.89,170.78,202.08,208.85,224.89,230.95,254.06,257.1,274.57,304.17,334.69,522.23,583.69,654.24,634.42,1102.3,800.36
46.17,0.0,74.06,61.27,111.46,130.34,261.69,275.68,69.99,252.03,134.14,602.43,530.21,641.54,641.54,655.07,701.33,1024.52,948.84,930.37,917.04,1187.05,1187.05,683.02,221.27,203.23,172.69,169.64,118.22,347.69,303.27,245.46,215.97,210.21,307.02,314.78,1434.43,1434.43,1607.16,501.23,505.73,505.73,888.85,60.17,161.82,86.94,163.03,192.07,229.61,361.25,382.07,400.38,698.52,849.35,375.06,358.91,358.91,358.91,358.91,379.61,395.11,405.16,494.32,708.06,710.67,699.78,655.86,675.32,532.53,514.49,582.28,558.28,495.07,515.18,551.41,531.77,690.05,289.21,357.82,747.58,774.16,1027.8,1351.59,1389.06,138.33,211.73,121.53,97.68,81.75,139.81,218.69,249.99,256.76,272.81,278.86,301.97,305.01,322.49,352.08,382.6,570.15,631.61,656.58,636.77,1104.64,848.27
27.89,74.06,0.0,49.84,100.02,118.9,231.45,245.45,4.08,275.88,157.07,731.05,680.73,611.31,611.31,624.84,671.1,994.29,873.03,854.56,841.23,1156.81,1156.81,652.79,241.1,223.05,192.51,189.46,138.04,317.45,273.03,215.23,185.74,179.98,276.79,284.54,1358.62,1358.62,1576.92,471.0,475.5,475.5,858.61,107.68,209.33,106.76,182.86,211.89,249.43,381.07,401.89,642.56,622.71,773.54,422.57,382.75,382.75,382.75,382.75,399.43,414.93,424.98,514.14,768.75,634.86,623.97,580.06,599.51,456.72,438.68,481.46,528.05,464.84,484.95,521.18,501.53,659.82,309.03,377.64,671.77,698.35,997.57,1321.35,1358.83,126.9,200.29,110.1,86.24,70.31,64.0,142.89,174.18,180.95,197.0,203.05,226.17,229.2,246.68,276.28,306.79,494.34,555.8,626.34,606.53,1074.4,772.46
77.73,61.27,49.84,0.0,50.18,69.06,200.42,214.41,53.91,322.39,203.62,681.22,630.9,580.27,580.27,593.8,640.06,963.25,870.93,852.46,839.13,1125.77,1125.77,621.75,287.64,269.59,239.06,236.0,184.59,286.41,241.99,184.19,154.7,148.94,245.75,253.5,1356.52,1356.52,1545.88,439.96,444.46,444.46,827.58,140.55,242.2,153.31,229.4,258.44,295.97,427.62,658.76,640.45,620.61,771.44,455.44,429.27,429.27,429.27,429.27,445.97,461.48,471.52,560.69,766.65,632.75,621.86,577.95,597.41,454.61,436.57,521.01,497.01,433.8,453.91,490.14,470.49,628.78,355.57,424.18,669.66,696.25,966.53,1290.31,1327.79,77.06,150.46,60.26,36.4,20.48,61.89,140.78,172.08,178.85,194.89,200.95,224.06,227.1,244.57,274.17,304.69,492.23,553.69,595.3,575.49,1043.36,770.36
127.91,111.46,100.02,50.18,0.0,18.88,146.87,144.1,104.09,372.57,253.8,718.92,668.6,530.35,530.35,543.88,590.14,913.33,889.76,871.29,857.96,1075.85,1075.85,571.83,337.82,319.78,289.24,286.19,234.77,216.11,171.68,113.88,84.39,78.63,195.83,203.58,1406.33,1406.33,1495.96,390.04,394.54,394.54,777.65,190.73,292.38,203.49,279.58,308.62,346.16,477.8,677.59,659.28,639.44,790.27,505.62,479.45,479.45,479.45,479.45,496.16,511.66,521.71,610.87,785.48,651.58,640.69,596.78,616.24,473.44,455.4,471.09,447.09,363.49,383.6,419.86,400.22,558.5,405.76,474.36,688.49,715.08,916.61,1240.39,1277.87,114.76,188.16,97.96,74.11,58.18,80.72,159.61,190.91,197.68,213.72,219.78,242.89,245.93,263.4,293.0,323.52,511.06,572.52,525.03,505.21,993.44,789.19
146.79,130.34,118.9,69.06,18.88,0.0,127.99,125.22,122.97,391.45,272.68,737.8,687.48,511.47,511.47,525.0,571.26,894.45,909.52,891.05,877.72,1056.97,1056.97,552.95,356.7,338.66,308.12,305.07,253.65,197.23,152.8,95.0,65.51,59.75,176.95,184.7,1387.45,1387.45,1477.08,371.16,375.66,375.66,758.77,209.61,311.26,222.37,298.46,327.5,365.04,496.68,697.35,679.04,659.2,810.03,524.5,498.33,498.33,498.33,498.33,515.04,530.54,540.59,629.75,805.24,671.34,660.45,616.54,636.0,492.32,474.28,452.21,428.21,344.61,364.72,400.98,381.34,539.62,424.64,493.24,708.25,734.84,897.73,1221.51,1258.99,133.64,207.04,116.84,92.99,77.06,99.6,178.49,209.79,216.56,232.6,238.66,261.77,264.81,282.28,311.88,342.4,530.82,592.28,506.15,486.33,974.56,702.27
259.35,261.69,231.45,200.42,146.87,127.99,0.0,109.9,235.53,522.72,403.95,832.73,782.41,498.21,498.21,511.74,557.99,860.32,896.26,877.79,864.46,1022.84,1022.84,518.82,487.97,469.93,439.39,436.33,384.92,204.31,194.38,136.58,107.09,101.33,181.68,189.44,1353.32,1353.32,1442.95,357.89,362.4,362.4,724.64,340.88,442.53,353.64,429.73,458.77,496.31,704.86,684.09,665.78,645.94,796.77,655.77,629.6,629.6,629.6,629.6,646.31,661.81,671.86,792.17,791.98,658.08,647.19,603.28,622.74,504.62,486.58,438.95,414.95,351.69,371.8,364.06,344.42,502.71,555.91,624.51,694.99,721.58,863.6,1187.38,1224.86,265.0,338.4,248.2,224.34,208.42,211.74,290.63,321.93,328.7,344.74,350.8,373.91,376.95,394.42,424.02,454.54,517.56,579.02,469.23,449.42,940.43,689.01
273.34,275.68,245.45,214.41,144.1,125.22,109.9,0.0,249.52,536.71,417.94,829.96,779.64,533.76,533.76,547.29,593.55,895.88,931.81,913.34,900.01,1058.4,1058.4,554.37,501.96,483.92,453.38,450.33,398.91,201.54,191.61,133.81,104.32,98.55,217.24,225.0,1388.88,1388.88,1478.51,393.45,397.95,397.95,760.2,354.87,456.52,367.63,443.72,472.76,510.3,740.42,719.64,701.34,681.49,832.32,669.76,643.59,643.59,643.59,643.59,660.3,675.8,685.85,827.73,827.53,693.64,682.75,638.84,658.3,540.17,522.13,474.5,450.5,348.92,280.61,257.91,238.27,396.55,569.9,638.51,730.55,757.13,899.15,1222.94,1260.41,278.99,352.39,262.19,238.33,222.41,225.73,304.62,335.92,342.69,358.73,364.79,387.9,390.94,408.41,438.01,468.53,553.12,614.58,381.13,361.32,975.99,724.57
23.82,69.99,4.08,53.91,104.09,122.97,235.53,249.52,0.0,271.8,153.0,735.13,684.81,615.38,615.38,628.91,675.17,998.36,877.11,858.64,845.31,1160.89,1160.89,656.86,237.02,218.98,188.44,185.38,133.97,321.53,277.11,219.31,189.82,184.05,280.86,288.62,1362.7,1362.7,1581.0,475.07,479.57,479.57,862.69,103.6,205.25,102.69,178.78,207.82,245.36,377.0,397.82,646.63,626.79,777.62,418.49,378.68,378.68,378.68,378.68,395.36,410.86,420.91,510.07,772.83,638.93,628.04,584.13,603.59,460.79,442.75,485.54,532.12,468.91,489.02,525.25,505.61,663.89,304.96,373.56,675.84,702.43,1001.64,1325.43,1362.9,130.97,204.37,114.17,90.31,74.39,68.07,146.96,178.26,185.03,201.07,207.13,230.24,233.28,250.75,280.35,310.87,498.41,559.87,630.42,610.61,1078.48,776.54
247.98,252.03,275.88,322.39,372.57,391.45,522.72,536.71,271.8,0.0,118.81,428.63,478.95,902.58,902.58,916.11,962.36,1285.56,1171.53,1153.05,1139.73,1448.08,1448.08,944.05,222.0,240.05,270.59,273.64,224.11,608.72,564.3,506.5,477.01,471.24,568.05,575.81,1657.11,1657.11,1868.19,762.26,766.76,766.76,1149.88,236.22,306.47,230.31,312.98,342.02,379.56,573.74,594.56,612.87,654.69,846.95,160.75,120.26,120.26,120.26,120.26,346.25,361.75,371.8,460.96,674.7,631.41,642.3,649.89,700.31,747.98,729.94,772.73,819.31,756.1,776.21,812.44,792.8,951.09,234.84,485.89,865.78,839.19,1288.83,1612.62,1650.09,399.45,472.85,382.65,358.79,342.87,355.26,434.15,465.45,472.22,488.27,494.32,517.43,520.47,537.94,567.54,598.06,785.6,847.07,917.61,897.8,1365.67,1070.96
